cow_id,name,breed,age_years,parity,days_in_milk,baseline_yield_liters,milk_yield_liters,yield_drop_pct,ec_lf,ec_rf,ec_lh,ec_rh,max_ec,ec_variance,scc,body_temp_c,milk_ph,udder_swelling,kicking_behavior,subclinical_quarter,risk_level,financial_loss_inr,recommended_action,phytotherapy_recipe
COW-1000,Gauri,Gir,2.7,3,137,15.3,12.5,18.6,6.76,4.87,4.92,5.03,6.76,1.89,354769,38.8,6.87,1,0,LF,MEDIUM,8929,Subclinical warning in LF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1001,Sita,Murrah Buffalo,8.2,1,93,16.2,15.6,3.9,4.73,4.54,4.47,4.47,4.73,0.26,183306,38.5,6.57,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1002,Kalyani,Murrah Buffalo,6.7,1,247,15.2,8.1,46.7,6.53,6.73,6.89,6.57,6.89,0.36,1468602,40.0,7.33,2,1,RH,HIGH,32100,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1003,Gauri,Sahiwal,7.9,1,131,19.2,19.2,0.0,4.87,4.67,4.73,4.82,4.87,0.2,113780,38.4,6.59,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1004,Tulsi,HF Cross,7.0,5,99,22.3,21.9,2.0,4.71,4.9,4.83,4.69,4.9,0.21,69627,38.4,6.52,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1005,Nandini,Red Sindhi,7.9,1,129,14.9,12.7,14.7,4.75,4.97,4.95,6.69,6.69,1.94,256438,38.5,6.94,1,0,RH,MEDIUM,7187,Subclinical warning in RH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1006,Ganga,Sahiwal,7.7,5,146,18.5,18.4,0.7,4.81,5.0,4.74,4.85,5.0,0.26,122097,38.5,6.49,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1007,Bhavani,Gir,8.5,2,93,18.8,18.7,0.6,4.5,4.69,4.55,4.68,4.69,0.19,133882,38.3,6.6,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1008,Kalyani,Gir,7.3,1,286,18.5,15.5,16.0,4.74,4.74,6.22,4.87,6.22,1.48,299581,38.6,6.97,0,0,LH,MEDIUM,8882,Subclinical warning in LH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1009,Gauri,Murrah Buffalo,8.4,5,113,12.9,11.2,12.9,7.01,4.88,4.96,5.15,7.01,2.13,319055,38.5,6.89,0,0,LF,MEDIUM,6190,Subclinical warning in LF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
